Johnson,SOU,MID,1,0,0,0,1,1,0,4.5,0,0
Johnson,WHU,DEF,62,0,0,0,2,2,0,4,0,0
Jones,LIV,MID,0,0,0,0,0,0,0,4.5,0,0
Jones,MUN,DEF,1261,0,1,3,2.4,43,3,5.1,-0.4,0.5
Jones,SOU,DEF,0,0,0,0,0,0,0,4,0,0
Jonny,WOL,DEF,2772,1,3,8,3.1,103,9,4.3,-0.2,3.6
Jorginho,CHE,MID,3156,2,0,16,2.6,96,4,4.6,-0.4,5.8
Joselu,NEW,FWD,586,2,0,1,1.9,30,3,4.7,-0.3,2.1
Jota,WOL,MID,2352,9,8,10,4.2,139,13,6.3,-0.2,8.5
Kabasele,WAT,DEF,1584,0,0,3,1.7,36,1,4.4,-0.1,0.3
Kaboul,WAT,DEF,0,0,0,0,0,0,0,4.2,-0.3,0.1
Kachunga,HUD,FWD,1175,0,0,1,1.4,29,0,4.8,-0.2,0.1
Kaikai,CRY,MID,0,0,0,0,0,0,0,4.3,-0.2,0.1
Kamara,FUL,FWD,688,3,0,1,2.2,28,2,4.5,0,5.1
Kane,TOT,FWD,2423,17,6,9,5.7,160,24,12.6,0.1,12.4
Kant�,CHE,MID,3092,4,4,14,3.2,116,3,4.9,-0.1,15.8
Karius,LIV,GKP,0,0,0,0,0,0,0,4.9,-0.1,0.1
Kayal,BHA,MID,935,1,1,4,2,36,0,4.4,-0.1,0.3
Keane,EVE,DEF,2970,1,2,13,3.9,129,15,4.8,-0.2,4.3
Kebano,FUL,MID,101,0,0,0,1,7,0,4.3,-0.2,0
Keita,LIV,MID,1385,2,1,10,2.7,67,3,7.1,-0.4,1.5
Kelly,CRY,DEF,1110,0,0,3,2,26,1,3.9,-0.1,5
Kenedy,NEW,MID,1337,1,1,6,2,50,1,4.7,-0.3,0.5
Kenny,EVE,DEF,789,0,1,1,1.9,19,0,4.1,-0.4,0.2
Kepa,CHE,GKP,3240,0,0,14,3.9,142,7,5.4,-0.1,4.9
Ki Sung-yueng,NEW,MID,1298,0,1,4,2.1,38,1,4.7,-0.3,0.1
Kiko Femen�a,WAT,DEF,2043,1,1,4,2.3,66,6,4.2,-0.3,1.2
Kilman,WOL,DEF,1,0,0,0,1,1,0,4,0,0
King,BOU,FWD,2963,12,3,10,4,141,20,6.4,-0.1,5.1
Klaassen,EVE,MID,0,0,0,0,0,0,0,6,0,0
Klavan,LIV,DEF,0,0,0,0,0,0,0,4.4,-0.1,0
Knight,LEI,DEF,0,0,0,0,0,0,0,4,0,0
Knockaert,BHA,MID,1828,2,6,3,2.5,74,2,5.2,-0.3,0.5
Koiki,BUR,DEF,0,0,0,0,0,0,0,4,0,0
Kolasinac,ARS,DEF,1886,0,7,5,3.4,81,10,4.9,-0.1,5.4
Kompany,MCI,DEF,1220,1,0,6,3.4,58,4,5.2,-0.3,1.7
Kongolo,HUD,DEF,2716,1,1,4,1.9,60,4,4.3,-0.2,0.2
Koscielny,ARS,DEF,1329,3,0,3,3.6,62,8,5.4,-0.1,0.9
Kouyat�,CRY,MID,1889,0,3,9,2.2,67,0,4.7,-0.3,0.2
Kovacic,CHE,MID,1725,0,2,9,2,64,2,5.7,-0.3,0.7
Lacazette,ARS,FWD,2497,13,12,6,4.7,166,20,9.4,-0.1,11.4
Lallana,LIV,MID,460,0,1,3,1.8,23,0,6.9,-0.1,0.6
Lamela,TOT,MID,965,4,4,4,3.5,67,5,5.9,-0.6,0.3
Lanzini,WHU,MID,685,1,2,2,3.1,31,3,6.4,-0.1,0.1
Laporte,MCI,DEF,3056,3,3,18,5.1,177,16,6.3,0.8,16.7
Lascelles,NEW,DEF,2745,0,1,10,3,95,8,4.7,-0.3,3.1
Le Marchand,FUL,DEF,2250,0,1,3,1.5,38,1,4.2,-0.3,0.2
Lejeune,NEW,DEF,1054,0,0,4,2.9,35,0,4.4,-0.1,0.1
Lemina,SOU,MID,1612,1,2,4,2.4,50,2,4.7,-0.3,0.2
Lennon,BUR,MID,1214,1,1,3,2.6,41,2,4.9,-0.1,0.3
Leno,ARS,GKP,2835,0,0,6,3.3,106,5,4.9,-0.1,4
Lerma,BOU,MID,2505,2,2,9,2.5,75,6,4.5,0,0.3
Lewis Cook,BOU,MID,719,0,0,3,1.7,22,0,4.6,-0.4,0.1
Lichtsteiner,ARS,DEF,935,0,0,0,1,14,0,4.5,-0.5,0.8
Lindegaard,BUR,GKP,0,0,0,0,0,0,0,4.3,-0.2,0.1
Lindel�f,MUN,DEF,2600,1,1,6,2.8,85,9,4.9,-0.1,5.2
Lingard,MUN,MID,1657,4,3,3,2.9,78,5,6.7,-0.3,2.6
Llorente,TOT,FWD,681,1,4,2,2,41,3,5.1,-0.9,1.5
Lloris,TOT,GKP,2970,0,0,12,4.4,145,10,5.4,-0.1,6.2
Locadia,BHA,FWD,1225,2,0,3,2,52,6,5.3,-0.2,0.3
Loftus-Cheek,CHE,MID,980,6,2,5,3.3,79,6,5.2,-0.3,0.8
Long,BUR,DEF,513,0,1,1,2.7,16,0,4.1,-0.4,0.3
Long,SOU,FWD,1260,5,2,2,2.5,66,5,4.7,-0.3,4.9
Longstaff,NEW,MID,686,1,1,3,2.9,26,1,4.5,0,0
Lookman,EVE,MID,600,0,3,1,1.6,34,0,4.9,-0.6,0.1
Lovren,LIV,DEF,986,1,1,6,4.8,63,9,4.9,-0.1,1.5
Lowton,BUR,DEF,1748,0,0,4,1.6,34,1,4.6,-0.4,0.2
Lucas,WHU,FWD,465,3,0,0,2.2,33,5,6.2,-0.3,0.1
Lucas Moura,TOT,MID,2115,10,2,14,4.1,131,8,6.9,-0.1,11.9
